name,live,prerequisites,h_position,v_position,creation_date,seconds_per_fast_problem,pretty_display_name,short_display_name,topic,area
parabola_intuition_1,TRUE,recognizing_conic_sections,47,2,2012-10-11 17:55:24.8056 UTC,13,?物線直覺 1,?物線直覺1,conic-sections,algebra
circles_and_arcs,TRUE,,40,-20,2012-10-11 17:55:33.41014 UTC,27,圓與弧,圓與弧,area-perimeter-and-volume,geometry
inscribed_angles_3,TRUE,inscribed_angles_2,44,-22,2012-10-11 17:55:44.11836 UTC,5,圓周角與圓心角換算 3,圓周角與圓心角換算3,circle-properties,geometry
solving_quadratics_by_factoring,TRUE,factoring_polynomials_1,50,-2,2012-10-11 17:54:59.28029 UTC,7,因式分解法,因式分解法,quadtratics,algebra
graphing_parabolas_1,TRUE,graphing_parabolas_0.5,52,0,2012-10-11 17:55:00.48268 UTC,24,畫拋物線 1,畫拋物線1,quadtratics,algebra
inverses_of_functions,TRUE,"domain_of_a_function,range_of_a_function",37,-1,2012-10-11 17:55:19.19361 UTC,7,反函數,反函數,algebra-functions,algebra
one_step_equations,TRUE,evaluating_expressions_1,28,12,2012-10-11 17:54:52.2115 UTC,7,單步驟方程式,單步驟方程式,solving-linear-equations-and-inequalities,algebra
one_step_inequalities,TRUE,inequalities_on_a_number_line,30,13,2012-10-11 17:54:53.84347 UTC,10,單步驟不等式,單步驟不等式,solving-linear-equations-and-inequalities,algebra
number_properties_terminology_1,TRUE,multiplying_and_dividing_negative_numbers,14,-4,2012-10-11 17:54:24.36253 UTC,5,數字概念用語 1,數字概念用語1,order-of-operations,arithmetic
angles_2,TRUE,angles_1,32,-20,2012-10-11 17:55:36.24101 UTC,9,角度 2,角度2,triangle-properties,geometry
angle_types,TRUE,"recognizing_rays_lines_and_line_segments,angle_rotation",25,-19,2012-10-11 17:55:39.92254 UTC,4,角的種類,角的種類,segments-and-angles,analytic-geometry
addition_3,FALSE,addition_2,5,4,2012-10-11 17:54:14.65655 UTC,6,二位數的加法(有進位),二位數加法有進位,addition-subtraction,arithmetic
compound_inequalities,TRUE,"one_step_inequalities,inequalities_and_expressions",31,14,2012-10-11 17:54:54.26358 UTC,12,不等式組,不等式組,solving-linear-equations-and-inequalities,algebra
distributive_property_with_variables,FALSE,,-12,-18,2012-10-11 17:54:55.23619 UTC,14,變數分配律,變數分配律,solving-linear-equations-and-inequalities,algebra
equation_of_a_circle_1,TRUE,recognizing_conic_sections,47,4,2012-10-11 17:55:24.38657 UTC,6,圓的方程式 1,圓的方程式1,conic-sections,algebra
distance_between_point_and_line,TRUE,"line_relationships,graphing_systems_of_equations",47,7,2012-10-11 17:55:07.7284 UTC,22.5,點跟線的距離,點跟線的距離,systems-of-eq-and-ineq,algebra
midpoint_formula,TRUE,distance_formula,43,-11,2012-10-11 17:54:50.7049 UTC,12,中點公式,中點公式,pythagorean-theorem,algebra
properties_of_numbers_2,TRUE,properties_of_numbers_1,14,-5,2012-10-11 17:54:24.9028 UTC,5,數字概念 2,數字概念2,order-of-operations,arithmetic
properties_of_incenters,TRUE,quadrilateral_types,34,-15,2014-07-08 07:10:08.27071 UTC,32.25,內心的基本概念,內心的基本概念,quadrilaterals-and-polygons,geometry
measuring_lengths_1,TRUE,,22,-16,2015-01-19 10:03:57.24387 UTC,5,量量看1,量量看1,basic-geometry,geometry
fractional_division_life_problem,TRUE,dividing_fractions_0.5,26,-13,2014-09-03 09:48:21.0571 UTC,15,用分數除法解決生活問題,用分數除法解決生活問題,fractions,arithmetic
volume_container_hight,TRUE,"volume_box,volume_space",38,-14,2014-02-06 04:25:43.39198 UTC,11,水面有多高,水面有多高,area-perimeter-and-volume,geometry
polynomial_concept_and_proper_noun,TRUE,,44,-6,2014-08-31 17:32:24.5423 UTC,7,多項式及相關名詞,多項式及相關名詞,polynomials,algebra
understanding_square_rectangular,TRUE,"sides_and_angles_of_simple_shapes,composing_shapes",17,-19,2014-09-04 07:03:14.60996 UTC,8,由邊長和角的特性認識正方形和長方形,邊角認識正方形長方形,basic-geometry,geometry
baseline_compareline_application,TRUE,baseline_compareline,28,-9,2014-08-31 05:13:37.58789 UTC,8,基準量與比較量的應用,基準量與比較量的應用,rates-and-ratios,arithmetic
vertical_and_parallel,TRUE,parallel_and_perpendicular,27,-23,2014-09-04 07:04:55.18117 UTC,6,"理解平面上直角,垂直與平行的意義","理解直角,垂直與平行",basic-geometry,geometry
decimal_multiplier_calculation,FALSE,integers_multiply_decimals2,11,0,2014-08-31 05:33:47.09686 UTC,10,用直式處理乘數是小數的計算並解決生活中的問題,直式處理乘數是小數計算,decimals,arithmetic
calculations_using_similar_shapes,TRUE,solving_similar_triangles_2,41,-33,2014-07-15 03:18:03.20954 UTC,15.75,運用三角形相似性質來計算,運用三角形相似性質計算,similar-triangle,geometry
quadratics_word_problems,TRUE,"cross_multiplication_advanced,quadratic_polynomial_word_problem",54,-6,2014-07-15 03:23:15.33281 UTC,9,二次函數文字應用問題,二次函數文字應用問題,quadtratics,algebra
represent_by_symbol_dividend,TRUE,represent_by_symbol_multiplier,24,10,2014-08-31 06:52:15.37436 UTC,7,用符號代表數-解決被除數或除數未知的問題,解決被除數除數未知問題,solving-linear-equations-and-inequalities,algebra
quadratic_polynomial_word_problem,TRUE,cross_multiplication_advanced,53,-5,2014-08-31 17:37:23.45339 UTC,10,一元二次方程式文字應用題,一元二次方程文字應用題,quadtratics,algebra
estimation_three-digit_add_sub,TRUE,addition_2,4,4,2014-09-03 09:35:50.5879 UTC,6,簡單的三位數加減估算,簡單的三位數加減估算,addition-subtraction,arithmetic
arithmetic_means,TRUE,arithmetic_sequences_3,31,2,2014-06-26 02:43:50.02414 UTC,5,等差中項,等差中項,sequence_and_series,arithmetic
recording_life _problem_by_expressions,FALSE,,-11,-17,2014-08-31 17:39:49.17294 UTC,10,以符號算式紀錄生活問題,以符號算式紀錄生活問題,solving-linear-equations-and-inequalities,algebra
seq_understanding_sequence_2,TRUE,seq_understanding_sequence_1,29,3,2015-01-20 09:48:16.8756 UTC,6,認識數列2,認識數列2,sequence_and_series,arithmetic
place_value_big_number,TRUE,place_value,12,3,2014-08-31 07:50:38.5343 UTC,10,位值3,位值3,decimals,arithmetic
matrix_basic_product,TRUE,matrix_basic_percentage,49,17,2014-04-09 04:50:57.31362 UTC,12,定義矩陣：商店產品,定義矩陣：商店產品,vectors-matrix,algebra
speed_applying,TRUE,speed_equal_to_distance_divide_time,31,-10,2014-06-27 07:20:18.34391 UTC,17,速率的應用問題,速率的應用問題,rates-and-ratios,arithmetic
completing_the_square_1_new,TRUE,solving_quadratics_by_taking_the_square_root,51,-1,2014-12-30 16:21:14.37794 UTC,17,配方法解一元二次式1,配方法解一元二次式1,quadtratics,algebra
basic_graph_and_composite_graph_area,TRUE,area_of_parallelograms,37,-20,2014-08-31 16:17:02.52731 UTC,5,簡單圖形與複合圖形的面積,簡單圖形與複合圖形面積,area-perimeter-and-volume,geometry
side_length_cube_and_relationship_with_volume_cuboid,FALSE,,2,-11,2015-03-02 22:10:21.30196 UTC,0,正方體及長方體邊長與體積的關係,正方體長方體邊長體積,N/A,N/A
judging_axis_of_symmetry,TRUE,axis_of_symmetry,44,-30,2014-02-14 08:00:25.33637 UTC,4,判斷出對稱軸,判斷出對稱軸,transformations,geometry
realizing_inequalities,TRUE,linear_equations_1,29,10,2014-08-31 17:40:36.73864 UTC,8,理解不等式的意義,理解不等式的意義,solving-linear-equations-and-inequalities,algebra
perimeter_1,TRUE,"order_of_operations,understand_range_of_graphie",18,-18,2012-10-11 17:55:32.2914 UTC,5,周長 1,周長1,basic-geometry,geometry
graphing_systems_of_equations,TRUE,graphing_linear_equations,46,10,2012-10-11 17:55:10.26726 UTC,50,畫聯立方程式,畫聯立方程式,systems-of-eq-and-ineq,algebra
exponents_3,TRUE,exponents_2,20,4,2012-10-11 17:55:16.22245 UTC,6,指數 3,指數3,exponents-radicals,algebra
reading_pictographs_2,TRUE,reading_pictographs_1,16,-23,2012-10-11 17:55:58.38871 UTC,8,象形圖 2,象形圖2,statistics,probability-statistics
lhopitals_rule,TRUE,"power_rule,special_derivatives",60,-23,2012-10-11 17:56:01.81149 UTC,6,羅必達法則,羅必達法則,calculus,calculus
multiplying_polynomials,TRUE,multiplying_expressions_0.5,47,-6,2012-10-11 17:54:58.62256 UTC,7,多項式的乘法,* 多項式,polynomials,algebra
kinematic_equations,FALSE,quadratic_equation,54,-3,2012-10-11 17:54:59.65494 UTC,56,,Kinem. Eq.,N/A,N/A
creating_bar_charts_1,FALSE,reading_bar_charts_1,17,-25,2012-10-11 17:55:57.8334 UTC,23,製作長條圖 1,製作長條圖1,statistics,probability-statistics
telling_time,TRUE,telling_time_0.5,5,11,2012-10-11 17:54:11.28693 UTC,7,看時鐘,看時鐘,telling-time,arithmetic
proportions_1,TRUE,proportions_1,29,-9,2012-10-11 17:54:12.86277 UTC,5,比值 1,比值1,rates-and-ratios,arithmetic
linear_equations_2,TRUE,linear_equations_1,29,9,2012-10-11 17:54:52.78793 UTC,6,線性方程式 2,線性方程式2,solving-linear-equations-and-inequalities,algebra
converting_repeating_decimals_to_fractions_1,TRUE,linear_equations_4,32,11,2012-10-11 17:55:08.79991 UTC,6,循環小數轉換成分數 1,循環小數轉分數1,solving-linear-equations-and-inequalities,algebra
exponents_2,TRUE,applications_of_index,19,5,2012-10-11 17:55:16.58121 UTC,6,指數 2,指數2,exponents-radicals,algebra
solving_similar_triangles_2,TRUE,solving_similar_triangles_1,40,-33,2012-10-11 17:55:47.84343 UTC,17,解出相似三角形 2,解出相似三角形2,similar-triangle,geometry
creating_box_and_whisker_plots,TRUE,"mean_median_and_mode,range_quarter_case_chart",18,-21,2012-10-11 17:55:57.02228 UTC,39,繪製盒狀圖,盒狀圖,statistics,probability-statistics
subtraction_within_20,TRUE,addition_within_20,1,2,2014-12-29 15:44:11.77112 UTC,4,20以內的減法,20以內的減法,addition-subtraction,arithmetic
